127.0.0.1, 2017-04-26 20:55:02, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000616
127.0.0.1, 2017-04-26 20:55:03, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000677
127.0.0.1, 2017-04-26 20:55:03, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000627
127.0.0.1, 2017-04-26 20:55:06, GET, /admin/default/site, HTTP/1.1, 200, 0.092519
127.0.0.1, 2017-04-26 20:55:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.045791
127.0.0.1, 2017-04-26 20:55:28, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.070395
127.0.0.1, 2017-04-26 20:55:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.081192
127.0.0.1, 2017-04-26 20:55:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.079093
127.0.0.1, 2017-04-26 20:55:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.050836
127.0.0.1, 2017-04-26 20:56:07, GET, /welcome/default/place, HTTP/1.1, 404, 0.023633
127.0.0.1, 2017-04-26 20:56:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2017-04-26 20:56:10, GET, /welcome/default/places, HTTP/1.1, 404, 0.027808
127.0.0.1, 2017-04-26 20:56:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000463
127.0.0.1, 2017-04-26 20:56:14, GET, /welcome/default/, HTTP/1.1, 200, 0.044077
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/default/index, HTTP/1.1, 200, 0.020750
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000540
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000412
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001042
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.004708
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.008678
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000802
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000725
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000506
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000486
127.0.0.1, 2017-04-26 20:56:20, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000532
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/default/what, HTTP/1.1, 200, 2.074070
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000561
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000503
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.001504
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.002861
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.003974
127.0.0.1, 2017-04-26 20:56:38, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.005696
127.0.0.1, 2017-04-26 20:57:18, GET, /examples/default/index, HTTP/1.1, 200, 0.020996
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001388
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.002201
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000451
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000662
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001599
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.002776
127.0.0.1, 2017-04-26 20:57:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/default/, HTTP/1.1, 200, 0.021846
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000502
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001558
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.003008
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.002508
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.003796
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.005420
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000551
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000619
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000524
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000529
127.0.0.1, 2017-04-26 20:58:07, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000533
127.0.0.1, 2017-04-26 20:58:14, GET, /, HTTP/1.1, 303, 0.000630
127.0.0.1, 2017-04-26 20:58:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.042789
127.0.0.1, 2017-04-26 20:58:17, GET, /admin/default/index, HTTP/1.1, 303, 0.007569
127.0.0.1, 2017-04-26 20:58:17, GET, /admin/default/site, HTTP/1.1, 200, 0.091216
127.0.0.1, 2017-04-26 20:58:29, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.136035
127.0.0.1, 2017-04-26 20:58:31, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.079209
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/default/site, HTTP/1.1, 200, 0.090296
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000545
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.000527
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000439
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000432
127.0.0.1, 2017-04-26 20:58:32, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000543
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001561
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001172
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000699
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000624
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.000600
